sku,type,name,url,url_image
2625,,Óculos de Grau Adidas A675 40 6058 52,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a675-40-6058-52-68573,https://OneLens.fbitsstatic.net/img/p/259417/oculos-de-grau-adidas-a675-40-6058-52-68573/259417.jpg?w=800&h=800
2626,,Óculos de Grau Adidas A677 40 6050 50,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a677-40-6050-50-68574,https://OneLens.fbitsstatic.net/img/p/259418/oculos-de-grau-adidas-a677-40-6050-50-68574/259418.jpg?w=800&h=800
42MODG218,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Café,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-cafe-218-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.110A1.0BRN.56_image_1_2.png
45MODG218,Gafas,Lentes Ópticos Dorothy Gaynor Dama Café,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-cafe-218,https://www.lentesplus.com/media/catalog/product/V/D/VDY.110A1.0BRN.56_image_1_1_1.png
42MODG219,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Negro,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-negro-219-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.A0623.0BLK.53_image_1_2.png
45MODG219,Gafas,Lentes Ópticos Dorothy Gaynor Dama Negro,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-negro-219,https://www.lentesplus.com/media/catalog/product/V/D/VDY.A0623.0BLK.53_image_1_1_1.png
2627,,Óculos de Grau Adidas A678 40 6052 51,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a678-40-6052-51-68575,https://OneLens.fbitsstatic.net/img/p/259419/oculos-de-grau-adidas-a678-40-6052-51-68575/259419.jpg?w=800&h=800
42MODG220,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Azul,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-azul-220-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.A0623.0BLU.53_image_1_2.png
45MODG220,Gafas,Lentes Ópticos Dorothy Gaynor Dama Azul,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-azul-220,https://www.lentesplus.com/media/catalog/product/V/D/VDY.A0623.0BLU.53_image_1_1_1.png
42MODG221,Lentes Oftalmicos,Lentes Ópticos Dorothy Gaynor Dama Café,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-cafe-221-s,https://www.lentesplus.com/media/catalog/product/V/D/VDY.A0623.0BRN.53_image_1_2.png
2628,,Óculos de Grau Adidas A679 40 6052 51,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a679-40-6052-51-68576,https://OneLens.fbitsstatic.net/img/p/259420/oculos-de-grau-adidas-a679-40-6052-51-68576/259420.jpg?w=800&h=800
2629,,Óculos de Grau Adidas A879 40 6055 50,https://www.MinhaOticaOnline.com.br/produto/oculos-de-grau-adidas-a879-40-6055-50-68577,https://OneLens.fbitsstatic.net/img/p/259421/oculos-de-grau-adidas-a879-40-6055-50-68577/259421.jpg?w=800&h=800
45MODG221,Gafas,Lentes Ópticos Dorothy Gaynor Dama Café,https://www.lentesplus.com/mx/producto/lentes-opticos-dorothy-gaynor-dama-cafe-221,https://www.lentesplus.com/media/catalog/product/V/D/VDY.A0623.0BRN.53_image_1_1_1.png
